id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1WnEyhN7Gdu23DQvUZkQy8,0.00327,0.639,0.838,0.00714,0.0834,-8.179,0.0453,122.179,0.588
1wnq9TwifJ9ipLUFsm8vKx,0.000139,0.513,0.875,3.28E-05,0.0715,-4.819,0.0336,151.986,0.677
1WnXCfO6oIxG0TbJj29MqR,0.783,0.697,0.548,0.841,0.132,-9.087,0.0561,133.005,0.977
1woA76rgRgf007W91VCM4N,0.978,0.173,0.0801,0.892,0.0828,-22.474,0.041,139.523,0.05
1WoBpPcS8lcCqwuZvOeCA3,0.98,0.397,0.107,0.000328,0.116,-15.226,0.0431,111.751,0.127
1woGeMgjOIAF2OnH6qGGhX,0.24,0.731,0.556,0.0093,0.0379,-11.448,0.0413,119.917,0.516
1WoOzgvz6CgH4pX6a1RKGp,0.00419,0.748,0.741,0,0.147,-3.103,0.0531,128.077,0.537
1wouF9mtyiwZDYiq5YElaq,0.415,0.837,0.703,2.73E-05,0.153,-9.385,0.0415,121.556,0.914
1WOxGNutRwrbik8BA5f2AY,0.892,0.434,0.305,0.942,0.111,-18.173,0.0364,139.878,0.0594
1wOxTOMMt5N7aw6kBItAW4,0.271,0.72,0.576,0,0.256,-15.118,0.029,111.592,0.947
1wp1aHirvZihTdrtdFuFv0,0.00335,0.593,0.799,0.0157,0.125,-6.098,0.0317,99.975,0.355
1WP7Snm91AFyvhWb3s8UB8,0.606,0.311,0.463,2.15E-05,0.263,-10.838,0.0601,159.401,0.594
1wpin6CIQlmEUuZvALQSVw,0.388,0.512,0.765,0,0.639,-7.379,0.163,142.14,0.416
1wPkB4TmFhOItrzZw5HgrE,0.108,0.273,0.908,0.94,0.121,-7.381,0.07,204.614,0.323
1WPQ1MfGc8KYi4eu0JwjlR,0.358,0.882,0.624,0,0.0678,-5.372,0.0681,96.897,0.9
1wpRglLhQ092N1rftlDMD3,0.172,0.393,0.678,0,0.0727,-6.584,0.0377,137.38,0.358
